Provincia,Partido,Localidad,Link Indec,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1024 Mbps,4000 Mbps,10000 Mbps,Otras_Velocidades,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,Otras_Tecnologias,Totales_Tecnologias
BUENOS AIRES,Tigre,Don Torcuato Este,6805010,258.0,32.0,9219.0,5557.0,1631.0,6836.0,889.0,0.0,0.0,5.0,64,12784,3,12962,0,0,23,177,26013
BUENOS AIRES,Tigre,Don Torcuato Oeste,6805010,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,186,0,187
BUENOS AIRES,Tigre,El Talar,6805010,297.0,18.0,5852.0,3282.0,1107.0,3905.0,667.0,0.0,0.0,30.0,26,7328,0,8545,0,0,79,124,16102
BUENOS AIRES,Tigre,General Pacheco,6805010,284.0,39.0,2878.0,4432.0,1671.0,6438.0,924.0,0.0,0.0,1190.0,1274,11436,1,4944,2,0,10,183,17850
BUENOS AIRES,Tigre,Los Troncos Del Talar,6805010,162.0,6.0,2288.0,2582.0,998.0,3747.0,516.0,0.0,0.0,3.0,36,6460,0,3716,1,0,0,89,10302
BUENOS AIRES,Tigre,Nordelta,6805010,4.0,0.0,268.0,2531.0,0.0,6230.0,505.0,0.0,0.0,0.0,0,5707,0,3831,0,0,0,0,9538
BUENOS AIRES,Tigre,Ricardo Rojas,6805010,145.0,3.0,1510.0,1635.0,538.0,1997.0,270.0,0.0,0.0,1075.0,1050,3649,0,2426,0,0,0,53,7178
BUENOS AIRES,Tigre,Rincón de Milberg,6805010,303.0,73.0,1611.0,3194.0,1241.0,5044.0,882.0,0.0,0.0,3.0,256,9356,0,2516,0,0,45,178,12351
BUENOS AIRES,Tigre,Tigre,6805010,615.0,17.0,5129.0,5406.0,820.0,6295.0,551.0,0.0,0.0,25.0,59,12387,0,6620,5,0,176,314,19561
BUENOS AIRES,Tordillo,General Conesa,6812010,286.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35,227,0,0,0,0,63,0,325
BUENOS AIRES,Tordillo,Villa Roch,6812010,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,11,0,11
BUENOS AIRES,Tornquist,Saldungaray,6819020,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,0,0,0,0,0,0,0,616
BUENOS AIRES,Tornquist,Sierra de la Ventana,6819030,424.0,544.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,486,0,727,0,0,0,0,1213
BUENOS AIRES,Tornquist,Tornquist,6819040,1802.0,302.0,354.0,98.0,0.0,0.0,1.0,0.0,0.0,1.0,110,966,0,1461,1,0,0,0,2538
BUENOS AIRES,Tornquist,Villa Serrana La Gruta,6819060,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119,0,0,0,0,0,0,119
BUENOS AIRES,Tornquist,Villa Ventana,6819070,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,0,0,0,0,0,0,0,475
BUENOS AIRES,Trenque Lauquen,30 de Agosto,6826040,2560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,184,0,1396,0,0,0,2376,3956
