Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2023,4,Capital Federal,79552.0,34359.0,119563.0,383799.0,151811.0,637782.0,67501.0,0.0,0.0,0.0,234.44,47.8,117.02,58700.0,1198835.0,182520.0,4492.0,29820.0,1474367.0
2023,4,Catamarca,7079.0,5384.0,35874.0,16953.0,42.0,8551.0,627.0,0.0,0.0,77.0,89.4,17.46,68.63,6669.0,11016.0,55437.0,1384.0,81.0,74587.0
2023,4,Chaco,25885.0,9682.0,34803.0,44796.0,2001.0,25558.0,621.0,0.0,0.0,4040.0,107.14,11.85,44.35,14000.0,60277.0,62301.0,8404.0,2404.0,147386.0
2023,4,Chubut,76877.0,36450.0,38931.0,1190.0,1.0,118.0,14.0,0.0,0.0,16589.0,20.29,26.04,84.96,26306.0,77217.0,26174.0,30543.0,9930.0,170170.0
2023,4,Córdoba,216740.0,72804.0,237059.0,305943.0,610.0,222469.0,6616.0,0.0,0.0,17061.0,114.03,27.76,90.67,115662.0,452380.0,440536.0,61862.0,8862.0,1079302.0
2023,4,Corrientes,40889.0,9513.0,34463.0,36195.0,3509.0,28183.0,236.0,0.0,0.0,6484.0,100.9,13.84,52.56,21769.0,86102.0,35968.0,10402.0,5231.0,159472.0
2023,4,Entre Ríos,96042.0,17536.0,43704.0,66726.0,2683.0,56914.0,650.0,0.0,0.0,14382.0,101.18,20.91,69.94,41794.0,159575.0,61667.0,24036.0,11565.0,298637.0
2023,4,Formosa,33683.0,4553.0,1238.0,10295.0,0.0,11784.0,99.0,0.0,0.0,350.0,83.35,9.98,39.23,10252.0,18325.0,16179.0,17061.0,185.0,62002.0
2023,4,Jujuy,28484.0,28749.0,45146.0,8683.0,3.0,4553.0,422.0,0.0,0.0,1980.0,46.2,14.77,57.78,11669.0,51083.0,49947.0,4105.0,1216.0,118020.0
2023,4,La Pampa,65395.0,16099.0,29155.0,7321.0,1161.0,580.0,5.0,0.0,0.0,1610.0,25.61,32.93,99.96,6844.0,59063.0,34331.0,19982.0,1106.0,121326.0
